id,name
653,Bainouk-Gunyaamolo
654,Bayot
655,Basap
656,Emberá-Baudó
657,Bunama
658,Bade
659,Biage
660,Bonggi
661,Baka (South Sudan)
662,Burun
663,Bai (South Sudan)
664,Budukh
665,Indonesian Bajau
666,Buduma
667,Baldemu
668,Morom
669,Bende
670,Bahnar
671,West Coast Bajau
672,Burunge
673,Bokoto
674,Oroko
675,Bodo Parja
676,Baham
677,Budong-Budong
678,Bandjalang
679,Badeshi
680,Beaver
681,Bebele
682,Iceve-Maci
683,Bedoanas
684,Byangsi
685,Benabena
686,Belait
687,Biali
688,Bekati'
689,Beja
690,Bebeli
691,Belarusian
692,Bemba (Zambia)
693,Bengali
694,Beami
695,Besoa
696,Beembe
697,Besme
698,Guiberoua Béte
699,Blagar
700,Daloa Bété
701,Betawi
702,Jur Modo
703,Beli (Papua New Guinea)
704,Bena (Tanzania)
705,Bari
706,Pauri Bareli
707,Panyi Bai
708,Bafut
709,Betaf
710,Bofi
711,Busang Kayan
712,Blafe
713,British Sign Language
714,Bafanji
715,Ban Khor Sign Language
716,Banda-Ndélé
717,Mmen
718,Bunak
719,Malba Birifor
720,Beba
721,Badaga
722,Bazigar
723,Southern Bai
724,Balti
725,Gahri
726,Bondo
727,Bantayanon
728,Bagheli
729,Mahasu Pahari
730,Gwamhi-Wuri
731,Bobongko
732,Haryanvi
733,Rathwi Bareli
734,Bauria
735,Bangandu
736,Bugun
737,Giangan
738,Bangolan
739,Bit
740,Bo (Laos)
741,Western Balochi
742,Baga Koga
743,Eastern Balochi
744,Bagri
745,Bawm Chin
746,Tagabawa
747,Bughotu
748,Mbongno
749,Warkay-Bipim
750,Bhatri
751,Balkan Gagauz Turkish
752,Benggoi
753,Banggai
754,Bharia
755,Bhili
756,Biga
757,Bhadrawahi
758,Bhaya
759,Odiai
760,Binandere
761,Bukharic
762,Bhilali
763,Bahing
764,Bimin
765,Bathari
766,Bohtan Neo-Aramaic
767,Bhojpuri
768,Bima
769,Tukang Besi South
770,Bara Malagasy
771,Buwal
772,Bhattiyali
773,Bhunjia
774,Bahau
775,Biak
776,Bhalay
777,Bhele
778,Bada (Indonesia)
779,Badimaya
780,Bissa
781,Bikaru
782,Bidiyo
783,Bepour
784,Biafada
785,Biangai
786,Vaghat-Ya-Bijim-Legeri
787,Bikol
788,Bile
789,Bimoba
790,Bini
791,Nai
792,Bila
793,Bipi
794,Bisorio
795,Bislama
796,Berinomo
797,Biete
798,Southern Birifor
799,Kol (Cameroon)
800,Bijori
801,Birhor
802,Baloi
803,Budza
804,Banggarla
805,Bariji
806,Biao-Jiao Mien
807,Barzani Jewish Neo-Aramaic
808,Bidyogo
809,Bahinemo
810,Burji
811,Kanauji
812,Barok
813,Bulu (Papua New Guinea)
814,Bajelani
815,Banjar
816,Mid-Southern Banda
817,Fanamaket
818,Binumarien
819,Bajan
820,Balanta-Ganja
821,Busuu
822,Bedjond
823,Bakwé
824,Banao Itneg
825,Bayali
826,Baruga
827,Kyak
828,Baka (Cameroon)
829,Binukid
830,Beeke
831,Buraka
832,Bakoko
833,Baki
834,Pande
835,Brokskat
836,Berik
837,Kom (Cameroon)
838,Bukitan
839,Kwa'
840,Boko (Democratic Republic of Congo)
841,Bakairí
842,Bakumpai
843,Northern Sorsoganon
844,Boloki
845,Buhid
846,Bekwarra
847,Bekwel
848,Baikeno
849,Bokyi
850,Bungku
851,Siksika
852,Bilua
853,Bella Coola
854,Bolango
855,Balanta-Kentohe
856,Buol
857,Balau
858,Kuwaa
859,Bolia
860,Bolongan
861,Pa'o Karen
862,Biloxi
863,Beli (South Sudan)
864,Southern Catanduanes Bikol
865,Anii
866,Blablanga
867,Baluan-Pam
868,Blang
869,Balaesang
870,Tai Dam
871,Kibala
872,Balangao
873,Mag-Indi Ayta
874,Notre
875,Balantak
876,Lame
877,Bembe
878,Biem
879,Baga Manduri
880,Limassa
881,Bom-Kim
882,Bamwe
883,Kein
884,Bagirmi
885,Bote-Majhi
886,Ghayavi
887,Bomboli
888,Northern Betsimisaraka Malagasy
889,Bina (Papua New Guinea)
