id,feature_class,feature_code,name,description
198,L,RESH,hunting reserve,a tract of land used primarily for hunting
199,L,RESN,nature reserve,an area reserved for the maintenance of a natural habitat
200,L,RESP,palm tree reserve,an area of palm trees where use is controlled
201,L,RESV,reservation,"a tract of land set aside for aboriginal, tribal, or native populations"
202,L,RESW,wildlife reserve,a tract of public land reserved for the preservation of wildlife
203,L,RGN,region,an area distinguished by one or more observable physical or cultural characteristics
204,L,RGNE,economic region,a region of a country established for economic development or for statistical purposes
205,L,RGNH,historical region,a former historic area distinguished by one or more observable physical or cultural characteristics
206,L,RGNL,lake region,a tract of land distinguished by numerous lakes
207,L,RNGA,artillery range,a tract of land used for artillery firing practice
208,L,SALT,salt area,a shallow basin or flat where salt accumulates after periodic inundation
209,L,SNOW,snowfield,an area of permanent snow and ice forming the accumulation area of a glacier
210,L,TRB,tribal area,a tract of land used by nomadic or other tribes
211,P,PPL,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
212,P,PPLA,seat of a first-order administrative division,seat of a first-order administrative division (PPLC takes precedence over PPLA)
213,P,PPLA2,seat of a second-order administrative division,
214,P,PPLA3,seat of a third-order administrative division,
215,P,PPLA4,seat of a fourth-order administrative division,
216,P,PPLA5,seat of a fifth-order administrative division,
217,P,PPLC,capital of a political entity,capital of a political entity designated as an independent state
218,P,PPLCD,capital of a dependency or special area,capital or administrative center of a dependent political territory or area of special sovereignty
219,P,PPLCH,historical capital of a political entity,a former capital of a political entity
220,P,PPLF,farm village,a populated place where the population is largely engaged in agricultural activities
221,P,PPLG,seat of government of a political entity,
222,P,PPLH,historical populated place,a populated place that no longer exists
223,P,PPLL,populated locality,an area similar to a locality but with a small group of dwellings or other buildings
224,P,PPLQ,abandoned populated place,
225,P,PPLR,religious populated place,a populated place whose population is largely engaged in religious occupations
226,P,PPLS,populated places,"cities, towns, villages, or other agglomerations of buildings where people live and work"
227,P,PPLW,destroyed populated place,"a village, town or city destroyed by a natural disaster, or by war"
228,P,PPLX,section of populated place,
229,P,STLMT,israeli settlement,
230,R,CSWY,causeway,a raised roadway across wet ground or shallow water
231,R,OILP,oil pipeline,a pipeline used for transporting oil
232,R,PRMN,promenade,"a place for public walking, usually along a beach front"
233,R,PTGE,portage,"a place where boats, goods, etc., are carried overland between navigable waters"
234,R,RD,road,"an open way with improved surface for transportation of animals, people and vehicles"
235,R,RDA,ancient road,the remains of a road used by ancient cultures
236,R,RDB,road bend,a conspicuously curved or bent section of a road
